                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.46802,                0.61895,                0.53378,                0.91063,                0.94935,                0.97126,                0.98223,                0.92849,                0.94357,                0.96666,                0.97943,                0.89972,                0.35745,                0.36628,                0.39031,                0.86111,              0.0002723,              0.0002723,              0.0002723
                     26,                 0.4675,                0.63717,                 0.5216,                0.91356,                 0.9617,                0.97089,                0.98391,                0.93874,                 0.9617,                0.97089,                0.98391,                0.90351,                0.34737,                0.36728,                0.36019,                0.85801,              0.0002624,              0.0002624,              0.0002624
                     27,                 0.4672,                0.61896,                0.50396,                0.90747,                0.97009,                0.97094,                0.98624,                0.94232,                0.97009,                0.97094,                0.98624,                0.91382,                0.34576,                0.35482,                 0.3508,                 0.8492,              0.0002525,              0.0002525,              0.0002525
                     28,                 0.4592,                0.62477,                 0.5273,                0.91506,                0.96199,                 0.9771,                0.98579,                0.93884,                0.96199,                 0.9771,                0.98579,                0.90088,                0.34713,                0.37441,                0.35013,                0.85504,              0.0002426,              0.0002426,              0.0002426
                     29,                0.45426,                0.63622,                0.50524,                0.90096,                0.93962,                0.97432,                0.98275,                0.94224,                0.93962,                0.97432,                0.98275,                0.90166,                0.33779,                0.36006,                 0.3601,                 0.8477,              0.0002327,              0.0002327,              0.0002327
                     30,                0.44423,                0.62755,                 0.4897,                0.90683,                0.96039,                0.97221,                0.98496,                0.94821,                0.96039,                0.97221,                0.98496,                0.91258,                0.33741,                0.35791,                0.34542,                0.84551,              0.0002228,              0.0002228,              0.0002228
                     31,                0.43503,                0.59836,                0.45889,                0.90358,                0.94695,                0.98147,                0.98475,                0.94723,                0.94695,                0.98147,                0.98475,                0.90626,                0.32945,                0.35998,                 0.3277,                0.84548,              0.0002129,              0.0002129,              0.0002129
                     32,                0.43744,                0.58643,                0.46615,                0.89954,                0.93871,                0.98373,                0.98458,                0.94445,                0.93871,                0.98373,                0.98458,                  0.908,                0.32613,                0.35397,                0.33314,                0.85042,               0.000203,               0.000203,               0.000203
                     33,                0.44346,                0.61029,                 0.4776,                0.91336,                0.96283,                0.96886,                0.98337,                0.94449,                0.96283,                0.96886,                0.98337,                0.90799,                0.33737,                 0.3566,                0.33748,                0.85841,              0.0001931,              0.0001931,              0.0001931
                     34,                0.43915,                0.61087,                0.45999,                0.89979,                0.94344,                0.98926,                0.98171,                0.94579,                0.94344,                0.98926,                0.98171,                0.90827,                0.31734,                0.36028,                0.32538,                0.83857,              0.0001832,              0.0001832,              0.0001832
                     35,                 0.4177,                 0.5918,                0.43813,                0.89258,                0.96855,                0.98926,                0.98376,                0.95274,                0.96855,                0.98926,                0.98376,                0.90606,                0.31069,                0.35578,                0.31089,                0.84141,              0.0001733,              0.0001733,              0.0001733
