                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.44251,                0.59235,                0.48195,                 0.9317,                0.93422,                0.98345,                0.98282,                0.92997,                0.93422,                0.98345,                0.98282,                0.88763,                0.36774,                0.37508,                0.36706,                0.89866,              0.0002723,              0.0002723,              0.0002723
                     26,                0.44611,                0.61763,                0.46367,                0.93642,                0.96425,                0.96885,                0.98544,                0.94044,                0.96425,                0.96885,                0.98544,                0.90758,                0.35229,                0.37612,                 0.3381,                0.90369,              0.0002624,              0.0002624,              0.0002624
                     27,                 0.4346,                0.59908,                0.43023,                0.92111,                0.95291,                0.99278,                0.98425,                0.94543,                0.95291,                0.99278,                0.98425,                0.90685,                0.34443,                 0.3557,                0.31848,                0.88295,              0.0002525,              0.0002525,              0.0002525
                     28,                0.43455,                0.62201,                0.44166,                 0.9293,                0.96423,                0.96858,                0.98491,                0.94534,                0.96423,                0.96858,                0.98491,                0.89684,                0.32908,                0.39006,                0.33068,                0.88132,              0.0002426,              0.0002426,              0.0002426
                     29,                0.43361,                0.60914,                0.43708,                0.91939,                 0.9588,                0.97242,                0.98454,                0.94442,                 0.9588,                0.97242,                0.98454,                0.90843,                   0.35,                0.35264,                0.32392,                 0.8986,              0.0002327,              0.0002327,              0.0002327
                     30,                0.41297,                0.59999,                0.42147,                0.91477,                0.96016,                0.98862,                0.98582,                0.93923,                0.96016,                0.98862,                0.98582,                0.90358,                0.34253,                0.36377,                0.32256,                0.89657,              0.0002228,              0.0002228,              0.0002228
                     31,                0.40463,                0.57908,                0.40599,                0.91826,                0.96031,                0.98561,                0.98712,                 0.9499,                0.95007,                0.98096,                0.98587,                0.90112,                0.33935,                0.38037,                0.30627,                0.88125,              0.0002129,              0.0002129,              0.0002129
                     32,                 0.4198,                0.56497,                 0.4122,                0.91776,                0.95748,                0.97929,                0.98719,                0.94383,                0.94593,                0.98836,                0.98594,                 0.9109,                0.34125,                0.35516,                0.31592,                0.88568,               0.000203,               0.000203,               0.000203
                     33,                0.41701,                0.58153,                0.41142,                0.92409,                0.96228,                  0.983,                 0.9851,                0.95005,                0.96228,                  0.983,                 0.9851,                0.91204,                0.31766,                0.35504,                0.30341,                 0.8714,              0.0001931,              0.0001931,              0.0001931
                     34,                0.40259,                0.57416,                0.40141,                0.90702,                0.96542,                0.98503,                0.98624,                0.94984,                0.96542,                0.98503,                0.98624,                0.90921,                0.32176,                0.35785,                0.30906,                0.88613,              0.0001832,              0.0001832,              0.0001832
                     35,                 0.4001,                0.55709,                0.38653,                0.91377,                0.96879,                0.97561,                0.98366,                0.94988,                0.96253,                0.97474,                0.98335,                0.90724,                0.31912,                0.36765,                0.30182,                0.87424,              0.0001733,              0.0001733,              0.0001733
                     36,                 0.4052,                0.57678,                0.39814,                0.91445,                0.96251,                0.98842,                0.98589,                0.94982,                0.96251,                0.98842,                0.98589,                0.91126,                0.32768,                0.34974,                0.29484,                 0.8835,              0.0001634,              0.0001634,              0.0001634
                     37,                0.39852,                0.59318,                0.38059,                0.90911,                0.96928,                0.99022,                0.98397,                0.95289,                0.96928,                0.99022,                0.98397,                0.90801,                0.31532,                0.35825,                0.29213,                0.87139,              0.0001535,              0.0001535,              0.0001535
                     38,                0.38786,                0.55614,                0.36958,                0.90102,                0.96879,                0.99046,                0.98309,                0.95166,                0.96879,                0.99046,                0.98309,                0.90766,                0.31287,                0.34854,                0.28415,                0.87374,              0.0001436,              0.0001436,              0.0001436
