                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.41893,                0.57995,                0.42179,                0.92728,                0.94032,                0.97428,                0.97703,                0.93782,                0.94032,                0.97428,                0.97703,                0.89575,                0.33372,                0.37594,                0.35522,                0.88479,             0.00021538,             0.00021538,             0.00021538
                     26,                0.41649,                0.58729,                0.39818,                0.92645,                0.95914,                0.97911,                0.98378,                0.94903,                0.95425,                 0.9741,                0.98311,                0.90844,                0.31595,                0.36624,                0.30192,                0.86724,               0.000203,               0.000203,               0.000203
                     27,                0.40569,                0.58413,                0.37476,                0.91333,                0.96371,                0.95866,                0.97989,                0.94882,                0.96371,                0.95866,                0.97989,                0.90399,                0.29957,                0.35402,                0.30625,                0.86619,             0.00019062,             0.00019062,             0.00019062
                     28,                0.40111,                0.58754,                0.38796,                0.91601,                0.95416,                0.97514,                0.98326,                0.95793,                0.95416,                0.97514,                0.98326,                0.90267,                0.30067,                0.36451,                0.30083,                 0.8677,             0.00017825,             0.00017825,             0.00017825
                     29,                0.39957,                0.58273,                0.37187,                0.91071,                0.95007,                0.98734,                0.98258,                0.95151,                0.95007,                0.98734,                0.98258,                0.90721,                0.30264,                0.34815,                0.28976,                0.86695,             0.00016588,             0.00016588,             0.00016588
                     30,                0.38802,                0.56635,                0.36085,                0.90775,                0.95262,                0.97644,                0.98191,                0.95082,                0.95262,                0.97644,                0.98191,                0.90611,                0.29686,                  0.355,                0.28782,                0.86794,              0.0001535,              0.0001535,              0.0001535
                     31,                0.35172,                0.46588,                0.31493,                 0.9127,                0.96151,                0.98254,                0.98226,                0.95516,                0.96151,                0.98254,                0.98226,                0.90786,                0.29222,                0.36453,                0.28364,                0.86017,             0.00014113,             0.00014113,             0.00014113
                     32,                0.34651,                0.45772,                0.29955,                0.91009,                0.95828,                0.97522,                0.98309,                0.96367,                0.95828,                0.97522,                0.98309,                0.90889,                0.28703,                0.35275,                0.27575,                0.85221,             0.00012875,             0.00012875,             0.00012875
                     33,                0.33742,                0.45487,                0.30185,                0.91296,                 0.9656,                0.98046,                0.98418,                0.95986,                 0.9656,                0.98046,                0.98418,                0.91099,                0.28019,                0.35394,                0.27285,                0.85536,             0.00011637,             0.00011637,             0.00011637
                     34,                 0.3402,                0.46045,                0.29885,                0.90149,                0.96852,                0.98596,                0.98373,                0.95755,                0.96852,                0.98596,                0.98373,                0.90996,                 0.2776,                0.34545,                0.27052,                0.85396,               0.000104,               0.000104,               0.000104
                     35,                0.33058,                  0.449,                0.29856,                0.90437,                0.95641,                0.97309,                0.98368,                0.95818,                0.95641,                0.97309,                0.98368,                0.90532,                0.28251,                0.35644,                0.27979,                0.84673,             9.1625e-05,             9.1625e-05,             9.1625e-05
                     36,                0.31513,                0.42762,                0.27969,                0.89355,                0.95331,                0.97247,                0.97815,                0.95396,                0.95331,                0.97247,                0.97815,                 0.9029,                0.26766,                0.34751,                0.28861,                0.83439,              7.925e-05,              7.925e-05,              7.925e-05
                     37,                0.31005,                 0.4262,                0.27467,                0.88967,                0.96331,                0.97047,                0.98352,                0.96228,                0.96331,                0.97047,                0.98352,                0.91332,                0.25378,                0.33999,                0.25341,                0.83419,             6.6875e-05,             6.6875e-05,             6.6875e-05
                     38,                  0.301,                0.43206,                0.25135,                0.87652,                 0.9651,                0.98806,                0.98465,                0.96546,                 0.9651,                0.98806,                0.98465,                 0.9169,                0.24251,                0.34132,                0.23562,                0.82734,               5.45e-05,               5.45e-05,               5.45e-05
                     39,                0.29749,                0.43302,                0.24309,                0.87891,                0.96651,                0.98483,                0.98488,                 0.9657,                0.96651,                0.98483,                0.98488,                0.91536,                0.24412,                0.33568,                0.23773,                0.82648,             4.2125e-05,             4.2125e-05,             4.2125e-05
                     40,                0.28981,                0.42987,                0.23518,                0.87638,                0.96772,                0.99148,                0.98522,                0.96701,                0.96772,                0.99148,                0.98522,                0.91689,                0.23728,                0.34855,                0.21935,                0.82552,              2.975e-05,              2.975e-05,              2.975e-05
